"rating","review"
"1","Damacana satıyorsunuz ve alıyoruz. Sizi Tercih sebebi hemen gelmesi. Şimdi sipariş veriyorum yoğunluk var almıyorsunuz ve min. Sepet ücreti istiyorsunuz. Bu düpedüz soygunculuk. Yoğun olabilirsin ama sıraya alırsın ya da müsait olunca bilgi geçer VS vs. Neden illa bir damacana su için 25 TL sipariş ...Yorumun TamamıDamacana satıyorsunuz ve alıyoruz. Sizi Tercih sebebi hemen gelmesi. Şimdi sipariş veriyorum yoğunluk var almıyorsunuz ve min. Sepet ücreti istiyorsunuz. Bu düpedüz soygunculuk. Yoğun olabilirsin ama sıraya alırsın ya da müsait olunca bilgi geçer VS vs. Neden illa bir damacana su için 25 TL sipariş verme zorunluluğu getiriyorsunuz? Sizde bitmişsiniz"
"3","Yeterli kurye olmadığı için her seferinde dakikalarca beklemek gerekiyor. Bu yüzden sipariş vermekten vazgeçiyorum. Getirme parası alınmasına rağmen ürünler marketten daha pahalı satılıyor. Önceden getirme parası olmadığı gibi bu kadar da büyük fark yoktu. Şimdiyse ek ücrete rağmen daha zamlı fiyatl...Yorumun TamamıYeterli kurye olmadığı için her seferinde dakikalarca beklemek gerekiyor. Bu yüzden sipariş vermekten vazgeçiyorum. Getirme parası alınmasına rağmen ürünler marketten daha pahalı satılıyor. Önceden getirme parası olmadığı gibi bu kadar da büyük fark yoktu. Şimdiyse ek ücrete rağmen daha zamlı fiyatlar. Ya getirme ücreti kalksın bu fiyatla alalım ya da fiyatlar marketle uyuşsun getirme ücreti verelim. Fakat Getir'in diğer uygulamalara göre daha iyi olduğunu söylemek de lazım."
"5","Öncelikle bu dönemde, yani korona virüs salgınının kol gezdiği ortamda yaptığınız bu hizmet için teşekkür ederim. Lütfen kurye arkadaşlarımızın her türlü güvenlik önlemini alınız. Hak ettiklerini veriniz. Teşekkür ederim."
"4","Teslimat çok hızlı. Getir'in en iyi tarafı bu.akşam 9da sipariş verdim. 15 dk bile sürmeden siparişler elimdeydi. Aceleniz olduğunda hayat kurtarıcı.ürünlerin fiyatları normal. Piyasa fiyatında.Kazik falan değil. Getir'in tek eksiği ürün çeşitliliğinin sınırlı olması. Aslında aradığınız her urun tip...Yorumun TamamıTeslimat çok hızlı. Getir'in en iyi tarafı bu.akşam 9da sipariş verdim. 15 dk bile sürmeden siparişler elimdeydi. Aceleniz olduğunda hayat kurtarıcı.ürünlerin fiyatları normal. Piyasa fiyatında.Kazik falan değil. Getir'in tek eksiği ürün çeşitliliğinin sınırlı olması. Aslında aradığınız her urun tipi fazlasıyla var. Ama marka ve örneğin aynı markanın farklı ürünleri anlamında çeşitlilik sınırlı. Ama bence bu çok cüzi bir eksik.Vegan ürün başlığı var ya, sırf bunun için bile getir'i öneririm."
"4","Güzel bir market uygulaması. Ürün ve marka çeşitliliğinin artması sizi her zaman tercih etmemizi sağlar. Bunların azlığı için 1 puan kırdım. Şu ana kadar 2 defa alışveriş yaptım. İkisinden de memnunum. Müşteri hizmetleriniz de bir çok firmaya göre iyi."
"5","Corona dan önce korktuğum ama bu süreçte 65 yaş üstü ailemin ve kendimin en çok ihtiyaç duyduğu işletme oldunuz. Siparişi vermem ve gelmesi çok hızlı ilerliyor. Şu dönemde çocuklarımın yüzündeki gülücüğe sebepsiniz. Anne babamdan aldığım duaya ortaksınız. Sizlere çok teşekkür ederim."
"5","İnanılmaz hızlı bir teslimat ve her aşamasında bilgilendirilmek gerçekten harika.Ayrica Ülkenin bu günkü zor günlerinde üstlenmiş olduğunuz sosyal sorumluluk ise gerçekten inanılmaz size bizlere verdiğiniz hizmet ve bu ülkenin bir vatandaşı olarak kendi adıma teşekkür ederim.👏👏"
"2","İlk zamanlar şahaneydi.gerçekten ürün fiyatları kampanyalar. Sonrasında fırsatçılığa döndü min. Sipariş tutarı getirme ücreti artışları... ürünlerde normalinden pahalılaştı.. açıkcası cezbeden bi durumu kalmadı. Onun yerine bigetir daha mantıklı şu sıralar.. ürün yelpazeside geniş.."
"1","Kendileri ülkenin bu zor durumunda fırsatcılık yapıp fiyatları yükseltmişlerdir.Ayriyetten güvenip getirden su alıyoruz fakat bu dönemde suyu almak için 15.5 ödüyorsunuz ve birde getirme kotasını doldurmamızı istiyorlar yani bir su size 25 30 TL geliyor.Damacanamı geri verin diyorum onuda vermiyorla...Yorumun TamamıKendileri ülkenin bu zor durumunda fırsatcılık yapıp fiyatları yükseltmişlerdir.Ayriyetten güvenip getirden su alıyoruz fakat bu dönemde suyu almak için 15.5 ödüyorsunuz ve birde getirme kotasını doldurmamızı istiyorlar yani bir su size 25 30 TL geliyor.Damacanamı geri verin diyorum onuda vermiyorlar.Bir suya 25 30 TL para istiyorlar.Bur fırsatçıları ilgili makamlara şikayet edicem.Getir şirketi nasıl fırsatçı bir firma olduğunu ülkenin bu zor zamanında göstermiştir yazıklar olsun...."
"5","Siparişlerim çok hızlı geldi. Ürünler çok iyi. Kurye saygılı ve güler yüzlü. Çok memnun kaldım. İyiki varsınız. Teşekkürler"
"1","Dışarı çıkma yasağı nedeniyle uygulamayı kullanma ihtiyacım oldu. Bir sipariş vermek için en az yarim saat beklemem gerekiyor galiba. Devam tuşuna basıyorum 5 dk, kart değiştir tuşuna basıyorum 5dk. Siparişi veremeden çıkmak zorunda kaldım. Altyapıyı düzeltmek şart."
"5","GETIR'DEN BU ZOR ZAMANDA CALISAN TUM CALISANLARINA IKRAMIYE, PRIM... BIR ODUL VERDIGI BILGISINI GORMEK ISTIYORU. Bakirkoyden siparis verdim, Taner beydi sanirim teslim eden calisaninizin adi. yanlissa isim cok ozur dilerim. O kadar memnunum ki. Boylesi zor bir zamanda hizli, guvenilir,temiz bir hizm...Yorumun TamamıGETIR'DEN BU ZOR ZAMANDA CALISAN TUM CALISANLARINA IKRAMIYE, PRIM... BIR ODUL VERDIGI BILGISINI GORMEK ISTIYORU. Bakirkoyden siparis verdim, Taner beydi sanirim teslim eden calisaninizin adi. yanlissa isim cok ozur dilerim. O kadar memnunum ki. Boylesi zor bir zamanda hizli, guvenilir,temiz bir hizmet... bu çalisanlarin basarisi. Boylesine bir ekibiniz oldugu icin cok sanslisiniz. Tesekkurler Taner Bey, tesekkurler Getir Calisanlari..."
"5","Siparişler eksiksiz ve gayet hızlı, güler yüzlü kuryelerle teslim ediliyor. Bir tek sipariş listemi görmek istediğimde program hata veriyor. Güncelleme yapmam gerekiyordur belki bilemiyorum. Sipariş takibi de gayet kolay oluyor programla."
"5","Bu kötü günlerde;yağmur,soğuk demeden hizmet eden arkadaşlara minnetle. Herkes en az 10 tl bahşiş verelim ki,onlarda evlerine giderken bir şeyler götürebilsin.Var olsunlar ve hizmet almaya devam edelim.. Sevgilerimle"
"1","Şu an bulunduğunuz noktaya hizmet veremiyoruz diyor. İzmir'in işlek bir semtinde oturuyoruz buraya hizmet veremiyorsanız nereye veriyorsunuz çok merak ettim açıkçası. 2 km ötemize ulaşım sağlıyorsunuz, lütfen bu konuyla ilgilenin, şimdiden teşekkür ederim..."
"1","Kesinlikle alışveriş etmeyin.kartinizdan para çekiyorlar kafalarına göre. Kart bilgilerimi otomatik algiladi. Diğer uygulamalardan mi aldı bilmiyorum. Teslimat saatlerini öğrenebilmek için kredi karti istiyor. Deneme amaçlı girdim anında para çekti. Alışveriş geçmişine bakıyorum ürün yok ama kredi k...Yorumun TamamıKesinlikle alışveriş etmeyin.kartinizdan para çekiyorlar kafalarına göre. Kart bilgilerimi otomatik algiladi. Diğer uygulamalardan mi aldı bilmiyorum. Teslimat saatlerini öğrenebilmek için kredi karti istiyor. Deneme amaçlı girdim anında para çekti. Alışveriş geçmişine bakıyorum ürün yok ama kredi kartından para çekiyor. Aradım ilgilenmediler. Çok sahtekar lar çok."
"2","Böyle bir dönemde hizmet ettiğiniz ve işimizi kolaylaştırdığınız için teşekkürler fakat az önce siparişim eksik geldi. Popular science dergisi stokta olmadığı halde ödeme aldılar ve teslimatta getirmediler, bir açıklama da yok. Paramın iade edilmesini talep ediyorum."
"5","ne oldu getir. bedava dondurma dağıtarak girdiniz piyasaya. hergün onlarca kampanya yaptınız. simdi insanların size ihtiyacı varken sizin bir tane kampanyanız yok.neden çünkü fırsatcısınız sizin kadar fırsatçı bir firma ya birdaha sipariş vermeyeceğim. etrafımdakilerin vermesine müsade etmeyeceğim. ...Yorumun Tamamıne oldu getir. bedava dondurma dağıtarak girdiniz piyasaya. hergün onlarca kampanya yaptınız. simdi insanların size ihtiyacı varken sizin bir tane kampanyanız yok.neden çünkü fırsatcısınız sizin kadar fırsatçı bir firma ya birdaha sipariş vermeyeceğim. etrafımdakilerin vermesine müsade etmeyeceğim. 5 yıldızı vermemi sebebi herkez görsün. beleşcilikten fırsatçılığa nasıl dönüşülür. size sipariş vereceğime çöpe atarım parayı yemem daha iyi. bu arada. size sipariş vereceğime yemeksepetine veririm."
"5","Sistem çok hızlı ilerliyor.yapılan işlemi ve eve geliş serüvenini an be an görüyorsun.bu insana inanılmaz mutluluk veriyor,heyecanlandırıyor.gelecek bir iki yıl içerisinde tüm turkiyeyi ve dünyayı saracak güzel bir iş .artık ticaret bu yönde hızla ilerliyor.iyi çalışmalar diliyorum..."
"5","Severek kullandığım uygulama. Ancak bahşiş bırakma özelliği çalışmıyor. Ödeme alınamadı tekrar deneyin yazıyor sürekli. Zaten kapıya bırakıldığı için yüzyüze teşekkür edemiyoruz bari bahşişle edelim istedim ama olmuyor. Düzeltilir umarım"
"5","Sevgili üstler ben şirketinizde çalışan bir kuryeyim şu son zamanlar ülke bazında baya sıkıntılı bir dönemdeyiz bunun farkındayım bu zor dönemde insanların eli ayağı olduk bir çok faktör de ama burda yapılan bir yanlış var daha 1.5 2 hafta öncesi bahşiş seçeneğini getirdiniz daha bir karşılığını gör...Yorumun TamamıSevgili üstler ben şirketinizde çalışan bir kuryeyim şu son zamanlar ülke bazında baya sıkıntılı bir dönemdeyiz bunun farkındayım bu zor dönemde insanların eli ayağı olduk bir çok faktör de ama burda yapılan bir yanlış var daha 1.5 2 hafta öncesi bahşiş seçeneğini getirdiniz daha bir karşılığını görmeden geri kaldırdınız belki eski sürümü yuklemislerdik dedik ama koskoca bir firma bunun üstesinden gelemiyorsa buda bize hiç ama hiç yakışmaz lütfen en kısa sürede buna bir çözüm bulun hoscakalin..."
"3","Sipariş sonrası , sipariş detayında neden aldığım ürünler gözükmüyor. 2 gündür kaç sefer denedim. Sildim yükledim vs vs. Olmuyor. Program bakarken hata verip kapanıyor. Çok eski siparişler gözüküyor ama."
"5","Çok teşekkür ederiz. Yoğunluktan dolayı sipariş verirken biraz sıkıntı yaşadık ama siparişlerimiz çok kısa sürede elimize ulaştı. iyi çalışmalar dileriz."
"5","Bence güzel bir uygulama! Adres takip sistemi çok hoşuma gitti, siparişin gelip gelmediğini kontrol edebiliyorsun! Başarılarınızın devamlı olması dileğiyle; hayırlı işler... 😇"
"1","Herşey çok pahalı eskiden böyle değildi 20 lira ve üstü getir ücreti yoktu üstelik promosyonlar kampanyalar hediyeler var di 30.lira üstü 10 lira 5 lira hediyeydi krizi fırsata çeviridniz yazık günah herşey çok pahalı çeşit az eskisi gibi degil yazıklar olsun 2 şey alıyorum 50 lira 100 lira yuh ya y...Yorumun TamamıHerşey çok pahalı eskiden böyle değildi 20 lira ve üstü getir ücreti yoktu üstelik promosyonlar kampanyalar hediyeler var di 30.lira üstü 10 lira 5 lira hediyeydi krizi fırsata çeviridniz yazık günah herşey çok pahalı çeşit az eskisi gibi degil yazıklar olsun 2 şey alıyorum 50 lira 100 lira yuh ya yuh"
"1","Siparişi ya eksik getiriyorlar ya yanlış getiriyorlar ya da poşetleri karıştırıyorlar. Her türlü bir sorunla uğraşıyorsunuz. Üstüne ne ücret iadesi yapıyorlar ne de müşteri hizmetlerine bağlanabiliyorsunuz."
"1","fiyat miyat geçtim 11 dk sonra yola çıksın dediginiz sipariş 51 dk sonra yola çıkıyor bir de gelmesi teslimi derken 1 saat 51 dakikada ürüne ulaşıyoruz **edit** 1 saat 51 dkya da raziyim artık komple gelmiyor sizden damacana aldığım güne lanet olsun bi de tanesi 24 tlden 2 tane almıştım şimdi evime ...Yorumun Tamamıfiyat miyat geçtim 11 dk sonra yola çıksın dediginiz sipariş 51 dk sonra yola çıkıyor bir de gelmesi teslimi derken 1 saat 51 dakikada ürüne ulaşıyoruz **edit** 1 saat 51 dkya da raziyim artık komple gelmiyor sizden damacana aldığım güne lanet olsun bi de tanesi 24 tlden 2 tane almıştım şimdi evime su söyleyemiyorum . Eski yorumu okudum 1 saat 51 dakika iyiymis 2 saattir gelmeyen sipariş...."
"4","Sizlere böyle kötü günlerimiz de bize hizmet sunduğunuz için kurye çalışanlarınıza ayrı ayrı teşekkür ediyorum👏...Rabbim onları korusun not promosyon ürünlerinizi siparişi tamamlarken otomatik olarak gösterirseniz o zaman sepete atmak daha mantıklı ben ilk olarak promosyon sayfanıza bakmadığım için...Yorumun TamamıSizlere böyle kötü günlerimiz de bize hizmet sunduğunuz için kurye çalışanlarınıza ayrı ayrı teşekkür ediyorum👏...Rabbim onları korusun not promosyon ürünlerinizi siparişi tamamlarken otomatik olarak gösterirseniz o zaman sepete atmak daha mantıklı ben ilk olarak promosyon sayfanıza bakmadığım için 70 tl üzeri alisverisimde hediye olarak alabileceğim ürünlerinizden faydalanamadım bu da beni üzdü 😔"
"5","3 kere sipariş verdim hepsi de istediğim gibi ve çok hızlı gerçekten GETİR bu işte 1 numara. Ekibinize çok teşekkür ederim bol kazançlar dilerim. Hep aynı kalitede kalmanız dileğiyle. 🤩😍❤️"
"5","Bu uygulama benim elim ayağım.Kim akıl ettiyse Allah ondan razı olsun. Bir ara dalgınlıktan yanlışlıkla kaldırdım galiba bu gün farkettim elim ayağıma dolandı.tekrar indirip kullanmaya başladım ya üstümden yük kalktı.o kadar rahatladım ki anlatamam size. Size benden,benide sizden ayırmasın Allah"
"1","Mahalle bakkalı daha iyi çalışır. Ucuz değil. Siparişi verdim 1 saat sonra biri aradı kurye kaza yaptı başkası getiriyor diye. Geçmiş olsun dedim. 1 saat geçti gelen giden yok ben aradım sipariş meşgule düşmüş iptal edelim yine sipariş ver diyorlar. Sonuç? Kayıp 2 saat"
"1","dışarı çıkmayalım diye uygulamayı indirdim, Ankara mamak bölgesinde oturuyorum, ev adresimi girdim (merkezi bölge, akdere) buraya şu anda getiremiyoruz diyo, 2 farklı adres daha girdim onlara da aynı şekilde... ne işe yarıyor bu getir"
"5","Güleryüz ve işini çok iyi yapan bir firma geçenlerde eksik ürün gelmişti hemen telafi ettiler. Pişman olmazsınız sürekli kampanyaları mevcuttur onlarla alışverişinizi daha ucuza getirebilirsiniz."
"5","Burda boş boş konuşan arkadaşlar tek kendinizi düşünmeyin depolar şu zor günlerde daha çok yoğun gelen siparişi hazırlamadan ekranda 15 sipariş beliriyor ve gelen ürün adetleri 30 parça 40 parça bunları hazırlamak kolay değil rafların arasında speedy gonzalez gibi bir sağa bir solo gidiyorsunuz ve s...Yorumun TamamıBurda boş boş konuşan arkadaşlar tek kendinizi düşünmeyin depolar şu zor günlerde daha çok yoğun gelen siparişi hazırlamadan ekranda 15 sipariş beliriyor ve gelen ürün adetleri 30 parça 40 parça bunları hazırlamak kolay değil rafların arasında speedy gonzalez gibi bir sağa bir solo gidiyorsunuz ve siparişler tek gitmiyor 2 farklı adrese gidiyor böyle büyük bir nimete dua ediceğinize sitem ediyorsunuz yağmur çamur dinlemeden siz evinizde virüs var diye otururken bu insanlar size hizmet ediyor"
"5","Müşteri temsilcisi den tutun da hazırlanma hızı getiren kuryenin ismi haritadan takibi kusursuz du. İlk siparişim Di ve hayran kaldım. Şirketi ve çalışanlarını ve kurucusunu tebrik ediyorum.. Umarım bu çizgiden ayrılmazlar.. 👏👏"
"1","Rezil bir uygulama. Bursa'nın merkezindeyiz. Fakat, ""şu an bulunduğunuz noktaya hizmet veremiyoruz"" uyarısı çıkıyor. O zaman neden açıklamaya Bursa ili yazıyorsunuz?"
"5","Ankara'daki hizmetlerinden çok memnun kaldım. Evden çıkmaya gerek kalmadan hızlıca ve düzgün paketlemeyle kapıya kadar istediğiniz ürünler geliyor. Dilerseniz kuryeye bahşiş bırakabiliyorsunuz. Teşekkürler"
"5","Denemek amaçlı kullandm birkaç ürün alarak tereddüt ediyordum taze mı gelir acaba DIE ama şuan ogrendm gayet başarılı taze gelio sebze ve meyveler çokta hızlı bebekli annelere tavsiyem özellikle sürekli dışarı çıkmaktan kurtuldunuz getirle hızlı bir şekilde yap alışverişini fiyat farkı bile yok herş...Yorumun TamamıDenemek amaçlı kullandm birkaç ürün alarak tereddüt ediyordum taze mı gelir acaba DIE ama şuan ogrendm gayet başarılı taze gelio sebze ve meyveler çokta hızlı bebekli annelere tavsiyem özellikle sürekli dışarı çıkmaktan kurtuldunuz getirle hızlı bir şekilde yap alışverişini fiyat farkı bile yok herşey on numara"
"5","Ilk defa bu siteden sipariş verdim ve çok memnun kaldım harika personel ve hizmetiniz için size canı gönülden teşekkür ederiz ve bu zorlu günler de bize hizmet sunduğunuz için sizlere çok teşekkür ederim"
"5","Siparişlerimiz yarım saat gibi kısa sürede geldi. GETİR elemanı güler yüzle siparişlerimizi hijyen kurallarına uygun olarak kapı önüne bıraktı. Bu ilk alışverişimizden çok memnun kaldık."
"3","Covid-19 Getir i de vurmuş. 5-10 dakika içinde gelen siparişler. Bugün az önce 3 dakika sıraya aldı beni tamam dedim. 50 dakika oldu hala hazırlanıyor. Alttarafı kefir söyledik çocuklara içiremiceğiz napalım artık güzeldi coronadan dolayı herkes sipariş veriyor ve çok yoğun kısacası"
"2","Rakibiniz banabi ye karşı artılarınız da var ama ben eksinizi söyleyeyim. Siparişinizi getirecek kurye serviste. Daha sonra tekrar deneyebilir misiniz?Telefon elimizde sürekli deneyelim. Ne zaman denk getirebilirsek. Rabiniz şu şekilde bir uygulama yapıyor. kuryeler serviste 23 dk sonra gelmesini is...Yorumun TamamıRakibiniz banabi ye karşı artılarınız da var ama ben eksinizi söyleyeyim. Siparişinizi getirecek kurye serviste. Daha sonra tekrar deneyebilir misiniz?Telefon elimizde sürekli deneyelim. Ne zaman denk getirebilirsek. Rabiniz şu şekilde bir uygulama yapıyor. kuryeler serviste 23 dk sonra gelmesini ister misiniz? Sipariş sıraya alınıyor. İki uygulamayı da ilk defa kullanıyorum. Oradan sipariş verdim sıraya alındı ama sizde elimde telefon ne zaman müsait olacağından fikrim olmayan zamanı bekliyorum"
"1","Dalga geçen uygulamadır.İçinde bulunduğumuz süreçte eminim ki çok yoğunsunuzdur buna bir şey diyemem zaten sırada beklemeyi kabul ettim.Ama sıra bana geldikten sonra dahi her adım o kadar uzun sürüyor ki. Siparişin hazırlanması 25dkdan fazla sürdü.Tamam o bitti siparişiniz yola çıktı yazıyor ama kur...Yorumun TamamıDalga geçen uygulamadır.İçinde bulunduğumuz süreçte eminim ki çok yoğunsunuzdur buna bir şey diyemem zaten sırada beklemeyi kabul ettim.Ama sıra bana geldikten sonra dahi her adım o kadar uzun sürüyor ki. Siparişin hazırlanması 25dkdan fazla sürdü.Tamam o bitti siparişiniz yola çıktı yazıyor ama kurye 15dk depodan ayrılmadı.Yoğun olabilirsiniz o zaman daha gerçekçi sipariş teslim süresi vermelisiniz tahmini 10dk denen sipariş 1 saatte geldi."
"5","Uygulama ve hizmet süper fakat şöyle bir durum var,getirme parası almanıza rağmen ürünlerin fiyatları standart market fiyatlarına oranla inanılmaz yüksek.Yani hem yüksek fiyatlardan ürün alıyoruz kapıya getiriyorsunuz diye hemde getirme ücreti alıyorsunuz.Bunu bir düşünün bence.."
"5","Bu zor günlerde güvenli, hızlı ve kibar çalışanları ile yanımızda olduğunuz için çok teşekkür ederim. İyi ki varsınız."
"1","Kullanımını pratik bulmadım, her aşama için ayrı ayrı işlem yaptırıyor, adresimi ve kartımı her seferinde yeniden yazmam gerekiyor, fiyatlar da rakip olan uygulamalara göre daha yüksek."
"4","Kargo çok hızlıydı kargocu arkadaş terbiyeliydi . Güzel poşetlenmişti. Ancak satın aldığımız Biscolata Mood ürününün ambalajı açıktı. fabrikasyon hatası olabilir. Ama dikkat edilmesi gerekiyor. Bu günlerde zaten virüs salgını var bir gıda ürününün ambalajının açık olması kabul edilemez. Ürünü kullan...Yorumun TamamıKargo çok hızlıydı kargocu arkadaş terbiyeliydi . Güzel poşetlenmişti. Ancak satın aldığımız Biscolata Mood ürününün ambalajı açıktı. fabrikasyon hatası olabilir. Ama dikkat edilmesi gerekiyor. Bu günlerde zaten virüs salgını var bir gıda ürününün ambalajının açık olması kabul edilemez. Ürünü kullanamıyoruz. Bir Yetkili durumu telafi eder inşallah"
"5","6 dak içerisinde siparişim kapıma eksiksiz bırakıldı. Migros 3 gün sonraya randevu verirken getir hayat kurtarıyor. Online ödeme seçeneği de iyi kurye kapıma bırakıp gitti adamın yüzünü bile görmedim."
